policy_w,driver_w,cyclist_w,Traj 0,Traj 1,Traj 2,Traj 3,best_traj_label
0.5,0.16,0.34,0.2905855012983978,0.2870650317917993,0.28010089581187636,0.28881035086235,Traj 0
0.5,0.18,0.32,0.3364037511524403,0.33235836610430003,0.32433612265988193,0.33384220659058417,Traj 0
0.5,0.2,0.3,0.3830790319948566,0.37850599437497434,0.3694152305582328,0.3795975249969248,Traj 0
0.5,0.22,0.28,0.4299446507092093,0.4248491102840094,0.4146951390972457,0.42541687894198177,Traj 0
0.5,0.24,0.26,0.47626534508858676,0.4706609214204765,0.4594660970039139,0.47057684891941076,Traj 0
0.5,0.26,0.24,0.48120503069191584,0.47558215575325746,0.4643237703469509,0.4747915958967665,Traj 0
0.5,0.28,0.22,0.44346263784992257,0.4383166035151849,0.4279886907639153,0.4369509926521449,Traj 0
0.5,0.3,0.2,0.40336576964620474,0.39871695471679264,0.38936515300668234,0.39690702059292005,Traj 0
0.5,0.32,0.18,0.3616116716857449,0.35747212717097737,0.34912552292566035,0.3553506618658677,Traj 0
0.5,0.34,0.16,0.3188843453457604,0.3152581708065652,0.3079299018269531,0.3129561117445599,Traj 0
0.5,0.36,0.14,0.2758052051991856,0.27268946655096926,0.26637843328694844,0.2703326829530591,Traj 0
0.5,0.38,0.12,0.23291091652952187,0.2302967795202064,0.22498981752204159,0.22800366520791296,Traj 0
0.5,0.4,0.1,0.19065178603322971,0.18852562855011024,0.18419966562605034,0.1864054083371999,Traj 0
0.5,0.42,0.08,0.14940127730280403,0.1477456587740124,0.14436960751424718,0.1458972432935022,Traj 0
0.5,0.44,0.06,0.10946942707592552,0.10826387806204633,0.10580018395649857,0.10677510632384206,Traj 0
0.5,0.46,0.04,0.07111611164325704,0.07033775250359159,0.06874361060725175,0.06928489556240622,Traj 0
0.5,0.48,0.02,0.03456245827833779,0.034186473807982454,0.03341476426784779,0.03363390974096424,Traj 0
0.5,0.5,0.0,0.0,0.0,0.0,0.0,"Traj 0, Traj 1, Traj 2, and Traj 3"
0.52,0.0,0.48,0.0,0.0,0.0,0.0,"Traj 0, Traj 1, Traj 2, and Traj 3"
0.52,0.02,0.46,0.027490766446847874,0.02712712316896221,0.0264170296556447,0.027678175554018095,Traj 3
0.52,0.04,0.44,0.05764690210620977,0.05689061055778687,0.05541011409026392,0.05793874120534413,Traj 3
0.52,0.06,0.42,0.09041814615502214,0.08924150095035627,0.08693245716308963,0.09072082391508299,Traj 3
0.52,0.08,0.4,0.12571635961752284,0.12409339429659039,0.12090071800809431,0.12592641292585433,Traj 3
0.52,0.1,0.38,0.16340488033641426,0.16131192657911497,0.15718473230304805,0.16340998054103012,Traj 3
0.52,0.12,0.36,0.2032859283406532,0.2007023146014058,0.195595345264539,0.202966241355159,Traj 0
